date,title,artist,peak_pos,rank,weeks
1980-06-25,All Night Long,Joe Walsh,31.0,31.0,7.0
1980-06-25,Answering Machine,Rupert Holmes,32.0,32.0,9.0
1980-06-25,"Theme From New York, New York",Frank Sinatra,32.0,33.0,9.0
1980-06-25,Love The World Away,Kenny Rogers,34.0,34.0,2.0
1980-06-25,Misunderstanding,Genesis,35.0,35.0,6.0
1980-06-25,Take Your Time (Do It Right) Part 1,The S.O.S. Band,36.0,36.0,5.0
1980-06-25,Stand By Me,Mickey Gilley,37.0,37.0,7.0
1980-06-25,Angel Say No,Tommy Tutone,38.0,38.0,6.0
1980-06-25,Ashes By Now,Rodney Crowell,39.0,39.0,8.0
1980-06-25,Atomic,Blondie,40.0,40.0,7.0
1980-06-25,Clones (We're All),Alice Cooper,41.0,41.0,7.0
1980-06-25,Somethin' 'Bout You Baby I Like,Glen Campbell & Rita Coolidge,42.0,42.0,7.0
1980-06-25,A Lover's Holiday,Change,43.0,43.0,7.0
1980-06-25,Walks Like A Lady,Journey,44.0,44.0,6.0
1980-06-25,King Of The Hill,Rick Pinette & Oak,45.0,45.0,8.0
1980-06-25,Everything Works If You Let It,Cheap Trick,46.0,46.0,6.0
1980-06-25,Empire Strikes Back (Medley),Meco,47.0,47.0,3.0
1980-06-25,All Night Thing,The Invisible Man's Band,48.0,48.0,7.0
1980-06-25,We Live For Love,Pat Benatar,27.0,49.0,13.0
1980-06-25,Let My Love Open The Door,Pete Townshend,50.0,50.0,3.0
1980-06-25,JoJo,Boz Scaggs,51.0,51.0,3.0
1980-06-25,Into The Night,Benny Mardones,52.0,52.0,3.0
1980-06-25,Sailing,Christopher Cross,53.0,53.0,3.0
1980-06-25,All Out Of Love,Air Supply,54.0,54.0,3.0
1980-06-25,And The Cradle Will Rock...,Van Halen,55.0,55.0,6.0
1980-06-25,It's For You,Player,56.0,56.0,4.0
1980-06-25,Sexy Eyes,Dr. Hook,5.0,57.0,20.0
1980-06-25,Sweet Sensation,Stephanie Mills,58.0,58.0,3.0
1980-06-25,Make A Little Magic,The Dirt Band,59.0,59.0,2.0
1980-06-25,Landlord,Gladys Knight And The Pips,60.0,60.0,3.0
1980-06-25,Take A Little Rhythm,Ali Thomson,61.0,61.0,3.0
1980-06-25,Twilight Zone/Twilight Tone,The Manhattan Transfer,30.0,62.0,11.0
1980-06-25,Ride Like The Wind,Christopher Cross,2.0,63.0,20.0
1980-06-25,Tulsa Time/Cocaine,Eric Clapton And His Band,64.0,64.0,2.0
1980-06-25,I'm Happy Just To Dance With You,Anne Murray,65.0,65.0,3.0
1980-06-25,Let's Go 'round Again,Average White Band,66.0,66.0,2.0
1980-06-25,Play The Game,Queen,67.0,67.0,1.0
1980-06-25,Fame,Irene Cara,68.0,68.0,3.0
1980-06-25,Shandi,KISS,69.0,69.0,2.0
1980-06-25,On The Rebound,Russ Ballard,70.0,70.0,3.0
1980-06-25,Shotgun Rider,Joe Sun,71.0,71.0,5.0
1980-06-25,One More Time For Love,Billy Preston & Syreeta,72.0,72.0,3.0
1980-06-25,Stop Your Sobbing,Pretenders,73.0,73.0,2.0
1980-06-25,I Can't Let Go,Linda Ronstadt,74.0,74.0,1.0
1980-06-25,Old-Fashion Love,Commodores,75.0,75.0,2.0
1980-06-25,Alabama Getaway,Grateful Dead,76.0,76.0,2.0
1980-06-25,Time For Me To Fly,REO Speedwagon,56.0,77.0,12.0
1980-06-25,Someone That I Used To Love,Natalie Cole,78.0,78.0,2.0
1980-06-25,Who Shot J.R.?,Gary Burbank With Band McNally,79.0,79.0,1.0
1980-06-25,Drivin' My Life Away,Eddie Rabbitt,80.0,80.0,2.0
1980-06-25,The Blue Side,Crystal Gayle,81.0,81.0,4.0
1980-06-25,That Lovin' You Feelin' Again,Roy Orbison & Emmylou Harris,82.0,82.0,1.0
1980-06-25,Love That Got Away,Firefall,83.0,83.0,1.0
1980-06-25,Dancin' In The Streets,Teri DeSario With K.C.,84.0,84.0,1.0
1980-06-25,Beyond,Herb Alpert,85.0,85.0,1.0
1980-06-25,One In A Million You,Larry Graham,86.0,86.0,1.0
1980-06-25,Why Not Me,Fred Knoblock,87.0,87.0,1.0
1980-06-25,I Get Off On It,Tony Joe White,88.0,88.0,1.0
1980-06-25,My Mistake,The Kingbees,89.0,89.0,1.0
1980-06-25,"Honey, Honey",David Hudson,90.0,90.0,1.0
1980-06-25,We Were Meant To Be Lovers,Photoglo,31.0,91.0,14.0
1980-06-25,Breakdown Dead Ahead,Boz Scaggs,15.0,92.0,14.0
1980-06-25,New Romance (It's A Mystery),Spider,39.0,93.0,11.0
1980-06-25,Another Brick In The Wall (Part II),Pink Floyd,1.0,94.0,24.0
1980-06-25,Power,The Temptations,43.0,95.0,8.0
1980-06-25,Is This Love,Pat Travers Band,50.0,96.0,7.0
1980-06-25,Dancing With The Mountains,John Denver,97.0,97.0,2.0
1980-06-25,Back Together Again,Roberta Flack With Donny Hathaway,56.0,98.0,7.0
1980-06-25,Lady,The Whispers,28.0,99.0,11.0
1980-06-25,Love Stinks,The J. Geils Band,38.0,100.0,12.0
1980-07-02,Coming Up (Live At Glasgow),Paul McCartney And Wings,1.0,1.0,11.0
1980-07-02,Funkytown,"Lipps, Inc.",1.0,2.0,15.0
1980-07-02,The Rose,Bette Midler,3.0,3.0,16.0
1980-07-02,It's Still Rock And Roll To Me,Billy Joel,4.0,4.0,7.0
1980-07-02,Little Jeannie,Elton John,5.0,5.0,10.0
1980-07-02,Against The Wind,Bob Seger,5.0,6.0,10.0
1980-07-02,Steal Away,Robbie Dupree,7.0,7.0,13.0
1980-07-02,Cupid/I've Loved You For A Long Time,The Spinners,8.0,8.0,8.0
1980-07-02,Biggest Part Of Me,Ambrosia,3.0,9.0,14.0
1980-07-02,Let's Get Serious,Jermaine Jackson,10.0,10.0,15.0
1980-07-02,Let Me Love You Tonight,Pure Prairie League,11.0,11.0,9.0
1980-07-02,Shining Star,The Manhattans,12.0,12.0,11.0
1980-07-02,She's Out Of My Life,Michael Jackson,10.0,13.0,12.0
1980-07-02,Magic,Olivia Newton-John,14.0,14.0,7.0
1980-07-02,Tired Of Toein' The Line,Rocky Burnette,15.0,15.0,9.0
1980-07-02,One Fine Day,Carole King,16.0,16.0,8.0
1980-07-02,Cars,Gary Numan,9.0,17.0,21.0
1980-07-02,I'm Alive,Electric Light Orchestra,18.0,18.0,7.0
1980-07-02,Should've Never Let You Go,Neil Sedaka & Dara Sedaka,19.0,19.0,15.0
1980-07-02,In America,The Charlie Daniels Band,20.0,20.0,6.0
1980-07-02,More Love,Kim Carnes,21.0,21.0,6.0
1980-07-02,Gimme Some Lovin',Blues Brothers,22.0,22.0,6.0
1980-07-02,Take Your Time (Do It Right) Part 1,The S.O.S. Band,23.0,23.0,6.0
1980-07-02,Love The World Away,Kenny Rogers,24.0,24.0,3.0
1980-07-02,All Night Long,Joe Walsh,25.0,25.0,8.0
1980-07-02,Call Me,Blondie,1.0,26.0,21.0
1980-07-02,Don't Fall In Love With A Dreamer,Kenny Rogers With Kim Carnes,4.0,27.0,15.0
1980-07-02,Stomp!,The Brothers Johnson,7.0,28.0,17.0
1980-07-02,Empire Strikes Back (Medley),Meco,29.0,29.0,4.0
1980-07-02,Two Places At The Same Time,Ray Parker Jr. & Raydio,30.0,30.0,12.0
1980-07-02,Misunderstanding,Genesis,31.0,31.0,7.0
1980-07-02,Stand By Me,Mickey Gilley,32.0,32.0,8.0
1980-07-02,Emotional Rescue,The Rolling Stones,33.0,33.0,1.0
1980-07-02,Sailing,Christopher Cross,34.0,34.0,4.0
1980-07-02,Let My Love Open The Door,Pete Townshend,35.0,35.0,4.0
1980-07-02,"Theme From New York, New York",Frank Sinatra,32.0,36.0,10.0
1980-07-02,Ashes By Now,Rodney Crowell,37.0,37.0,9.0
1980-07-02,Walks Like A Lady,Journey,38.0,38.0,7.0
1980-07-02,Atomic,Blondie,39.0,39.0,8.0
1980-07-02,Clones (We're All),Alice Cooper,40.0,40.0,8.0
1980-07-02,King Of The Hill,Rick Pinette & Oak,41.0,41.0,9.0
1980-07-02,Somethin' 'Bout You Baby I Like,Glen Campbell & Rita Coolidge,42.0,42.0,8.0
1980-07-02,A Lover's Holiday,Change,43.0,43.0,8.0
1980-07-02,Everything Works If You Let It,Cheap Trick,44.0,44.0,7.0
1980-07-02,All Night Thing,The Invisible Man's Band,45.0,45.0,8.0
1980-07-02,JoJo,Boz Scaggs,46.0,46.0,4.0
1980-07-02,Into The Night,Benny Mardones,47.0,47.0,4.0
1980-07-02,Make A Little Magic,The Dirt Band,48.0,48.0,3.0
1980-07-02,All Out Of Love,Air Supply,49.0,49.0,4.0
1980-07-02,Take A Little Rhythm,Ali Thomson,50.0,50.0,4.0
1980-07-02,It's For You,Player,51.0,51.0,5.0
1980-07-02,Sweet Sensation,Stephanie Mills,52.0,52.0,4.0
1980-07-02,Tulsa Time/Cocaine,Eric Clapton And His Band,53.0,53.0,3.0
1980-07-02,I Can't Let Go,Linda Ronstadt,54.0,54.0,2.0
1980-07-02,Landlord,Gladys Knight And The Pips,55.0,55.0,4.0
1980-07-02,Brass In Pocket (I'm Special),Pretenders,14.0,56.0,21.0
1980-07-02,Play The Game,Queen,57.0,57.0,2.0
1980-07-02,Fame,Irene Cara,58.0,58.0,4.0
1980-07-02,Old-Fashion Love,Commodores,59.0,59.0,3.0
1980-07-02,Let's Go 'round Again,Average White Band,60.0,60.0,3.0
1980-07-02,Shandi,KISS,61.0,61.0,3.0
1980-07-02,On The Rebound,Russ Ballard,62.0,62.0,4.0
1980-07-02,One More Time For Love,Billy Preston & Syreeta,63.0,63.0,4.0
1980-07-02,I'm Happy Just To Dance With You,Anne Murray,64.0,64.0,4.0
1980-07-02,Stop Your Sobbing,Pretenders,65.0,65.0,3.0
1980-07-02,Lost In Love,Air Supply,3.0,66.0,22.0
1980-07-02,Beyond,Herb Alpert,67.0,67.0,2.0
1980-07-02,Drivin' My Life Away,Eddie Rabbitt,68.0,68.0,3.0
1980-07-02,Someone That I Used To Love,Natalie Cole,69.0,69.0,3.0
1980-07-02,Why Not Me,Fred Knoblock,70.0,70.0,2.0
1980-07-02,Who Shot J.R.?,Gary Burbank With Band McNally,71.0,71.0,2.0
1980-07-02,Boulevard,Jackson Browne,72.0,72.0,1.0
1980-07-02,Wondering Where The Lions Are,Bruce Cockburn,21.0,73.0,16.0
1980-07-02,Answering Machine,Rupert Holmes,32.0,74.0,10.0
1980-07-02,That Lovin' You Feelin' Again,Roy Orbison & Emmylou Harris,75.0,75.0,2.0
1980-07-02,Alabama Getaway,Grateful Dead,76.0,76.0,3.0
1980-07-02,Give Me The Night,George Benson,77.0,77.0,1.0
1980-07-02,Love That Got Away,Firefall,78.0,78.0,2.0
1980-07-02,Dancin' In The Streets,Teri DeSario With K.C.,79.0,79.0,2.0
1980-07-02,Hurt So Bad,Linda Ronstadt,8.0,80.0,13.0
1980-07-02,One In A Million You,Larry Graham,81.0,81.0,2.0
1980-07-02,Years From Now,Dr. Hook,82.0,82.0,1.0
1980-07-02,I Get Off On It,Tony Joe White,83.0,83.0,2.0
1980-07-02,My Mistake,The Kingbees,84.0,84.0,2.0
1980-07-02,"Honey, Honey",David Hudson,85.0,85.0,2.0
1980-07-02,Time For Me To Fly,REO Speedwagon,56.0,86.0,13.0
1980-07-02,The Blue Side,Crystal Gayle,81.0,87.0,5.0
1980-07-02,Free Me,Roger Daltrey,88.0,88.0,1.0
1980-07-02,Angel Say No,Tommy Tutone,38.0,89.0,7.0
1980-07-02,If I Were You,Toby Beau,90.0,90.0,1.0
1980-07-02,We Live For Love,Pat Benatar,27.0,91.0,14.0
1980-07-02,And The Cradle Will Rock...,Van Halen,55.0,92.0,7.0
1980-07-02,Twilight Zone/Twilight Tone,The Manhattan Transfer,30.0,93.0,12.0
1980-07-02,Another Brick In The Wall (Part II),Pink Floyd,1.0,94.0,25.0
1980-07-02,Back Together Again,Roberta Flack With Donny Hathaway,56.0,95.0,8.0
1980-07-02,Ride Like The Wind,Christopher Cross,2.0,96.0,21.0
1980-07-02,Dancing With The Mountains,John Denver,97.0,97.0,3.0
1980-07-02,Sexy Eyes,Dr. Hook,5.0,98.0,21.0
1980-07-02,Shotgun Rider,Joe Sun,71.0,99.0,6.0
1980-07-02,Power,The Temptations,43.0,100.0,9.0
1980-07-09,Coming Up (Live At Glasgow),Paul McCartney And Wings,1.0,1.0,12.0
1980-07-09,It's Still Rock And Roll To Me,Billy Joel,2.0,2.0,8.0
1980-07-09,The Rose,Bette Midler,3.0,3.0,17.0
1980-07-09,Little Jeannie,Elton John,4.0,4.0,11.0
1980-07-09,Cupid/I've Loved You For A Long Time,The Spinners,5.0,5.0,9.0
1980-07-09,Steal Away,Robbie Dupree,6.0,6.0,14.0
1980-07-09,Funkytown,"Lipps, Inc.",1.0,7.0,16.0
1980-07-09,Magic,Olivia Newton-John,8.0,8.0,8.0
1980-07-09,Let's Get Serious,Jermaine Jackson,9.0,9.0,16.0
1980-07-09,Let Me Love You Tonight,Pure Prairie League,10.0,10.0,10.0
1980-07-09,Shining Star,The Manhattans,11.0,11.0,12.0
1980-07-09,Against The Wind,Bob Seger,5.0,12.0,11.0
1980-07-09,Tired Of Toein' The Line,Rocky Burnette,13.0,13.0,10.0
1980-07-09,One Fine Day,Carole King,14.0,14.0,9.0
1980-07-09,In America,The Charlie Daniels Band,15.0,15.0,7.0
1980-07-09,I'm Alive,Electric Light Orchestra,16.0,16.0,8.0
1980-07-09,More Love,Kim Carnes,17.0,17.0,7.0
1980-07-09,Biggest Part Of Me,Ambrosia,3.0,18.0,15.0
1980-07-09,Take Your Time (Do It Right) Part 1,The S.O.S. Band,19.0,19.0,7.0
1980-07-09,Gimme Some Lovin',Blues Brothers,20.0,20.0,7.0
1980-07-09,Love The World Away,Kenny Rogers,21.0,21.0,4.0
1980-07-09,Emotional Rescue,The Rolling Stones,22.0,22.0,2.0
1980-07-09,All Night Long,Joe Walsh,23.0,23.0,9.0
1980-07-09,She's Out Of My Life,Michael Jackson,10.0,24.0,13.0
1980-07-09,Empire Strikes Back (Medley),Meco,25.0,25.0,5.0
1980-07-09,Sailing,Christopher Cross,26.0,26.0,5.0
1980-07-09,Misunderstanding,Genesis,27.0,27.0,8.0
1980-07-09,Stand By Me,Mickey Gilley,28.0,28.0,9.0
1980-07-09,Cars,Gary Numan,9.0,29.0,22.0
1980-07-09,Should've Never Let You Go,Neil Sedaka & Dara Sedaka,19.0,30.0,16.0
1980-07-09,Let My Love Open The Door,Pete Townshend,31.0,31.0,5.0
1980-07-09,Don't Fall In Love With A Dreamer,Kenny Rogers With Kim Carnes,4.0,32.0,16.0
1980-07-09,Call Me,Blondie,1.0,33.0,22.0
1980-07-09,Walks Like A Lady,Journey,34.0,34.0,8.0
1980-07-09,Take A Little Rhythm,Ali Thomson,35.0,35.0,5.0
1980-07-09,Into The Night,Benny Mardones,36.0,36.0,5.0
1980-07-09,Old-Fashion Love,Commodores,37.0,37.0,4.0
1980-07-09,King Of The Hill,Rick Pinette & Oak,38.0,38.0,10.0
1980-07-09,JoJo,Boz Scaggs,39.0,39.0,5.0
1980-07-09,Make A Little Magic,The Dirt Band,40.0,40.0,4.0
1980-07-09,A Lover's Holiday,Change,41.0,41.0,9.0
1980-07-09,I Can't Let Go,Linda Ronstadt,42.0,42.0,3.0
1980-07-09,All Out Of Love,Air Supply,43.0,43.0,5.0
1980-07-09,Everything Works If You Let It,Cheap Trick,44.0,44.0,8.0
1980-07-09,All Night Thing,The Invisible Man's Band,45.0,45.0,9.0
1980-07-09,Tulsa Time/Cocaine,Eric Clapton And His Band,46.0,46.0,4.0
1980-07-09,It's For You,Player,47.0,47.0,6.0
1980-07-09,Ashes By Now,Rodney Crowell,37.0,48.0,10.0
1980-07-09,Landlord,Gladys Knight And The Pips,49.0,49.0,5.0
1980-07-09,Fame,Irene Cara,50.0,50.0,5.0
1980-07-09,Play The Game,Queen,51.0,51.0,3.0
1980-07-09,Sweet Sensation,Stephanie Mills,52.0,52.0,5.0
1980-07-09,Boulevard,Jackson Browne,53.0,53.0,2.0
1980-07-09,Let's Go 'round Again,Average White Band,54.0,54.0,4.0
1980-07-09,Drivin' My Life Away,Eddie Rabbitt,55.0,55.0,4.0
1980-07-09,Shandi,KISS,56.0,56.0,4.0
1980-07-09,One More Time For Love,Billy Preston & Syreeta,57.0,57.0,5.0
1980-07-09,Why Not Me,Fred Knoblock,58.0,58.0,3.0
1980-07-09,Beyond,Herb Alpert,59.0,59.0,3.0
1980-07-09,On The Rebound,Russ Ballard,60.0,60.0,5.0
1980-07-09,"Theme From New York, New York",Frank Sinatra,32.0,61.0,11.0
1980-07-09,Someone That I Used To Love,Natalie Cole,62.0,62.0,4.0
1980-07-09,Stomp!,The Brothers Johnson,7.0,63.0,18.0
1980-07-09,Two Places At The Same Time,Ray Parker Jr. & Raydio,30.0,64.0,13.0
1980-07-09,Stop Your Sobbing,Pretenders,65.0,65.0,4.0
1980-07-09,One In A Million You,Larry Graham,66.0,66.0,3.0
1980-07-09,Lookin' For Love,Johnny Lee,67.0,67.0,1.0
1980-07-09,Who Shot J.R.?,Gary Burbank With Band McNally,68.0,68.0,3.0
1980-07-09,That Lovin' You Feelin' Again,Roy Orbison & Emmylou Harris,69.0,69.0,3.0
1980-07-09,Give Me The Night,George Benson,70.0,70.0,2.0
1980-07-09,Love That Got Away,Firefall,71.0,71.0,3.0
1980-07-09,Alabama Getaway,Grateful Dead,72.0,72.0,4.0
1980-07-09,Dancin' In The Streets,Teri DeSario With K.C.,73.0,73.0,3.0
1980-07-09,Years From Now,Dr. Hook,74.0,74.0,2.0
1980-07-09,Save Me,Dave Mason,75.0,75.0,1.0
1980-07-09,You're The Only Woman (You & I),Ambrosia,76.0,76.0,1.0
1980-07-09,It Hurts Too Much,Eric Carmen,77.0,77.0,1.0
1980-07-09,Free Me,Roger Daltrey,78.0,78.0,2.0
1980-07-09,"Honey, Honey",David Hudson,79.0,79.0,3.0
1980-07-09,If I Were You,Toby Beau,80.0,80.0,2.0
1980-07-09,I Get Off On It,Tony Joe White,81.0,81.0,3.0
1980-07-09,Upside Down,Diana Ross,82.0,82.0,1.0
1980-07-09,Just Can't Wait,The J. Geils Band,83.0,83.0,1.0
1980-07-09,My Mistake,The Kingbees,84.0,84.0,3.0
1980-07-09,The Blue Side,Crystal Gayle,81.0,85.0,6.0
1980-07-09,You're Supposed To Keep Your Love For Me,Jermaine Jackson,86.0,86.0,1.0
1980-07-09,When Things Go Wrong,Robin Lane & The Chartbusters,87.0,87.0,1.0
1980-07-09,I'm Alright,Kenny Loggins,88.0,88.0,1.0
1980-07-09,Cheap Sunglasses,ZZ Top,89.0,89.0,1.0
1980-07-09,Half Moon Silver,Hotel,90.0,90.0,1.0
1980-07-09,I'm Happy Just To Dance With You,Anne Murray,64.0,91.0,5.0
1980-07-09,Atomic,Blondie,39.0,92.0,9.0
1980-07-09,Clones (We're All),Alice Cooper,40.0,93.0,9.0
1980-07-09,Somethin' 'Bout You Baby I Like,Glen Campbell & Rita Coolidge,42.0,94.0,9.0
1980-07-09,Brass In Pocket (I'm Special),Pretenders,14.0,95.0,22.0
1980-07-09,Lost In Love,Air Supply,3.0,96.0,23.0
1980-07-09,Wondering Where The Lions Are,Bruce Cockburn,21.0,97.0,17.0
1980-07-09,Answering Machine,Rupert Holmes,32.0,98.0,11.0
1980-07-09,Hurt So Bad,Linda Ronstadt,8.0,99.0,14.0
1980-07-09,Angel Say No,Tommy Tutone,38.0,100.0,8.0
1980-07-16,It's Still Rock And Roll To Me,Billy Joel,1.0,1.0,9.0
1980-07-16,Coming Up (Live At Glasgow),Paul McCartney And Wings,1.0,2.0,13.0
1980-07-16,Little Jeannie,Elton John,3.0,3.0,12.0
1980-07-16,Cupid/I've Loved You For A Long Time,The Spinners,4.0,4.0,10.0
1980-07-16,Shining Star,The Manhattans,5.0,5.0,13.0
1980-07-16,Steal Away,Robbie Dupree,6.0,6.0,15.0
1980-07-16,Magic,Olivia Newton-John,7.0,7.0,9.0
1980-07-16,The Rose,Bette Midler,3.0,8.0,18.0
1980-07-16,Let's Get Serious,Jermaine Jackson,9.0,9.0,17.0
1980-07-16,Let Me Love You Tonight,Pure Prairie League,10.0,10.0,11.0
1980-07-16,Take Your Time (Do It Right) Part 1,The S.O.S. Band,11.0,11.0,8.0
1980-07-16,Tired Of Toein' The Line,Rocky Burnette,12.0,12.0,11.0
1980-07-16,One Fine Day,Carole King,13.0,13.0,10.0
1980-07-16,In America,The Charlie Daniels Band,14.0,14.0,8.0
1980-07-16,More Love,Kim Carnes,15.0,15.0,8.0
1980-07-16,I'm Alive,Electric Light Orchestra,16.0,16.0,9.0
1980-07-16,Emotional Rescue,The Rolling Stones,17.0,17.0,3.0
1980-07-16,Love The World Away,Kenny Rogers,18.0,18.0,5.0
1980-07-16,Gimme Some Lovin',Blues Brothers,19.0,19.0,8.0
1980-07-16,Funkytown,"Lipps, Inc.",1.0,20.0,17.0
1980-07-16,All Night Long,Joe Walsh,21.0,21.0,10.0
1980-07-16,Empire Strikes Back (Medley),Meco,22.0,22.0,6.0
1980-07-16,Sailing,Christopher Cross,23.0,23.0,6.0
1980-07-16,Misunderstanding,Genesis,24.0,24.0,9.0
1980-07-16,Let My Love Open The Door,Pete Townshend,25.0,25.0,6.0
1980-07-16,Stand By Me,Mickey Gilley,26.0,26.0,10.0
1980-07-16,Against The Wind,Bob Seger,5.0,27.0,12.0
1980-07-16,Take A Little Rhythm,Ali Thomson,28.0,28.0,6.0
1980-07-16,Old-Fashion Love,Commodores,29.0,29.0,5.0
1980-07-16,Into The Night,Benny Mardones,30.0,30.0,6.0
1980-07-16,JoJo,Boz Scaggs,31.0,31.0,6.0
1980-07-16,Walks Like A Lady,Journey,32.0,32.0,9.0
1980-07-16,Make A Little Magic,The Dirt Band,33.0,33.0,5.0
1980-07-16,Biggest Part Of Me,Ambrosia,3.0,34.0,16.0
1980-07-16,She's Out Of My Life,Michael Jackson,10.0,35.0,14.0
1980-07-16,King Of The Hill,Rick Pinette & Oak,36.0,36.0,11.0
1980-07-16,Cars,Gary Numan,9.0,37.0,23.0
1980-07-16,I Can't Let Go,Linda Ronstadt,38.0,38.0,4.0
1980-07-16,All Out Of Love,Air Supply,39.0,39.0,6.0
1980-07-16,A Lover's Holiday,Change,40.0,40.0,10.0
1980-07-16,Tulsa Time/Cocaine,Eric Clapton And His Band,41.0,41.0,5.0
1980-07-16,Fame,Irene Cara,42.0,42.0,6.0
1980-07-16,Why Not Me,Fred Knoblock,43.0,43.0,4.0
1980-07-16,Play The Game,Queen,44.0,44.0,4.0
1980-07-16,Drivin' My Life Away,Eddie Rabbitt,45.0,45.0,5.0
1980-07-16,It's For You,Player,46.0,46.0,7.0
1980-07-16,Landlord,Gladys Knight And The Pips,47.0,47.0,6.0
1980-07-16,Boulevard,Jackson Browne,48.0,48.0,3.0
1980-07-16,Should've Never Let You Go,Neil Sedaka & Dara Sedaka,19.0,49.0,17.0
1980-07-16,Shandi,KISS,50.0,50.0,5.0
1980-07-16,Beyond,Herb Alpert,51.0,51.0,4.0
1980-07-16,One More Time For Love,Billy Preston & Syreeta,52.0,52.0,6.0
1980-07-16,Let's Go 'round Again,Average White Band,53.0,53.0,5.0
1980-07-16,Call Me,Blondie,1.0,54.0,23.0
1980-07-16,Someone That I Used To Love,Natalie Cole,55.0,55.0,5.0
1980-07-16,Give Me The Night,George Benson,56.0,56.0,3.0
1980-07-16,Don't Fall In Love With A Dreamer,Kenny Rogers With Kim Carnes,4.0,57.0,17.0
1980-07-16,One In A Million You,Larry Graham,58.0,58.0,4.0
1980-07-16,Lookin' For Love,Johnny Lee,59.0,59.0,2.0
1980-07-16,On The Rebound,Russ Ballard,60.0,60.0,6.0
1980-07-16,Love That Got Away,Firefall,61.0,61.0,4.0
1980-07-16,That Lovin' You Feelin' Again,Roy Orbison & Emmylou Harris,62.0,62.0,4.0
1980-07-16,Everything Works If You Let It,Cheap Trick,44.0,63.0,9.0
1980-07-16,You're The Only Woman (You & I),Ambrosia,64.0,64.0,2.0
1980-07-16,Years From Now,Dr. Hook,65.0,65.0,3.0
1980-07-16,Dancin' In The Streets,Teri DeSario With K.C.,66.0,66.0,4.0
1980-07-16,Who Shot J.R.?,Gary Burbank With Band McNally,67.0,67.0,4.0
1980-07-16,Alabama Getaway,Grateful Dead,68.0,68.0,5.0
1980-07-16,Free Me,Roger Daltrey,69.0,69.0,3.0
1980-07-16,If I Were You,Toby Beau,70.0,70.0,3.0
1980-07-16,Upside Down,Diana Ross,71.0,71.0,2.0
1980-07-16,"Honey, Honey",David Hudson,72.0,72.0,4.0
1980-07-16,Save Me,Dave Mason,73.0,73.0,2.0
1980-07-16,Hot Rod Hearts,Robbie Dupree,74.0,74.0,1.0
1980-07-16,It Hurts Too Much,Eric Carmen,75.0,75.0,2.0
1980-07-16,You're Supposed To Keep Your Love For Me,Jermaine Jackson,76.0,76.0,2.0
1980-07-16,I'm Alright,Kenny Loggins,77.0,77.0,2.0
1980-07-16,Just Can't Wait,The J. Geils Band,78.0,78.0,2.0
1980-07-16,I Get Off On It,Tony Joe White,79.0,79.0,4.0
1980-07-16,Half Moon Silver,Hotel,80.0,80.0,2.0
1980-07-16,Cry Just A Little,Paul Davis,81.0,81.0,1.0
1980-07-16,My Mistake,The Kingbees,82.0,82.0,4.0
1980-07-16,The Blue Side,Crystal Gayle,81.0,83.0,7.0
1980-07-16,How Does It Feel To Be Back,Daryl Hall John Oates,84.0,84.0,1.0
1980-07-16,Hey There Lonely Girl,Robert John,85.0,85.0,1.0
1980-07-16,Under The Gun,Poco,86.0,86.0,1.0
1980-07-16,When Things Go Wrong,Robin Lane & The Chartbusters,87.0,87.0,2.0
1980-07-16,The Royal Mile (Sweet Darlin'),Gerry Rafferty,88.0,88.0,1.0
1980-07-16,Cheap Sunglasses,ZZ Top,89.0,89.0,2.0
1980-07-16,You And Me,Rockie Robbins,90.0,90.0,1.0
1980-07-16,All Night Thing,The Invisible Man's Band,45.0,91.0,10.0
1980-07-16,Ashes By Now,Rodney Crowell,37.0,92.0,11.0
1980-07-16,Sweet Sensation,Stephanie Mills,52.0,93.0,6.0
1980-07-16,"Theme From New York, New York",Frank Sinatra,32.0,94.0,12.0
1980-07-16,Stomp!,The Brothers Johnson,7.0,95.0,19.0
1980-07-16,Where Did We Go Wrong,Frankie Valli & Chris Forde,96.0,96.0,1.0
1980-07-16,Two Places At The Same Time,Ray Parker Jr. & Raydio,30.0,97.0,14.0
1980-07-16,Stop Your Sobbing,Pretenders,65.0,98.0,5.0
1980-07-16,I'm Happy Just To Dance With You,Anne Murray,64.0,99.0,6.0
1980-07-16,Somethin' 'Bout You Baby I Like,Glen Campbell & Rita Coolidge,42.0,100.0,10.0
1980-07-23,It's Still Rock And Roll To Me,Billy Joel,1.0,1.0,10.0
1980-07-23,Magic,Olivia Newton-John,2.0,2.0,10.0
1980-07-23,Little Jeannie,Elton John,3.0,3.0,13.0
1980-07-23,Cupid/I've Loved You For A Long Time,The Spinners,4.0,4.0,11.0
1980-07-23,Shining Star,The Manhattans,5.0,5.0,14.0
1980-07-23,Coming Up (Live At Glasgow),Paul McCartney And Wings,1.0,6.0,14.0
1980-07-23,Steal Away,Robbie Dupree,6.0,7.0,16.0
1980-07-23,Tired Of Toein' The Line,Rocky Burnette,8.0,8.0,12.0
1980-07-23,Take Your Time (Do It Right) Part 1,The S.O.S. Band,9.0,9.0,9.0
1980-07-23,The Rose,Bette Midler,3.0,10.0,19.0
1980-07-23,Emotional Rescue,The Rolling Stones,11.0,11.0,4.0
1980-07-23,One Fine Day,Carole King,12.0,12.0,11.0
