title,artist,weeks,peak_rank,date,peak_year
In The Mood,Ernie Fields & Orch.,19.0,4.0,1959-09-16,1959
In The Still Of The Night,Dion & The Belmonts,7.0,38.0,1960-07-13,1960
In The Still Of The Nite,The Five Satins,5.0,81.0,1959-12-30,1959
In The Summer Of His Years,Connie Francis,6.0,46.0,1963-12-25,1963
In The Time Of Our Lives,Iron Butterfly,2.0,96.0,1969-07-09,1969
In The Year 2525,Zager & Evans,13.0,1.0,1969-06-18,1969
In Time,Steve Lawrence,1.0,94.0,1961-08-09,1961
In-A-Gadda-Da-Vida,Iron Butterfly,17.0,30.0,1968-08-21,1968
Incense And Peppermints,Strawberry Alarm Clock,16.0,1.0,1967-09-27,1967
Indescribably Blue,Elvis Presley With The Jordanaires and The Imperials Quartet,8.0,33.0,1967-01-25,1967
Indian Giver,1910 Fruitgum Co.,13.0,5.0,1969-01-22,1969
Indian Lake,The Cowsills,13.0,10.0,1968-05-29,1968
Inky Dinky Spider (The Spider Song),The Kids Next Door,3.0,84.0,1965-10-20,1965
Inside-Looking Out,The Animals,7.0,34.0,1966-02-23,1966
Insult To Injury,Timi Yuro,1.0,81.0,1963-03-27,1963
Intermission Riff,Bernie Lowe Orchestra,4.0,61.0,1958-11-19,1958
Invisible Tears,The Ray Conniff Singers,10.0,57.0,1964-07-15,1964
Invitation To The Blues,Ray Price,1.0,92.0,1958-09-03,1958
Irresistable You,Bobby Peterson,1.0,96.0,1960-10-26,1960
Irresistible You,Bobby Darin,13.0,15.0,1961-12-06,1961
Is A Blue Bird Blue,Conway Twitty,11.0,35.0,1960-06-08,1960
Is It Because I'm Black,Syl Johnson,4.0,79.0,1969-12-10,1969
Is It Me?,Barbara Mason,2.0,97.0,1966-01-26,1966
Is It Really Over?,Jim Reeves,6.0,79.0,1965-08-11,1965
Is It Something You've Got,Tyrone Davis,7.0,34.0,1969-03-19,1969
Is It True,Brenda Lee,9.0,17.0,1964-10-14,1964
Is It Wrong (For Loving You),Webb Pierce,3.0,69.0,1960-04-27,1960
Is That All There Is,Peggy Lee,10.0,11.0,1969-09-24,1969
Is There Any Chance,Marty Robbins,12.0,31.0,1960-06-15,1960
Is There Something On Your Mind,Jack Scott,1.0,89.0,1961-01-04,1961
Is This What I Get For Loving You?,The Ronettes Featuring Veronica,4.0,75.0,1965-05-26,1965
Is You Is Or Is You Ain't My Baby,Buster Brown,3.0,81.0,1960-09-14,1960
Island In The Sky,Troy Shondell,1.0,92.0,1962-01-10,1962
Isn't It Amazing,The Crests featuring Johnny Mastro,1.0,100.0,1960-10-19,1960
Isn't It Lonely Together,Robert Knight,6.0,63.0,1968-10-16,1968
Israelites,Desmond Dekker And The Aces,10.0,9.0,1969-05-14,1969
It Ain't Me Babe,The Turtles,11.0,8.0,1965-08-04,1965
"It Ain't Me, Babe",Johnny Cash,8.0,58.0,1964-10-28,1964
It Ain't No Big Thing,Radiants,3.0,91.0,1965-05-05,1965
It Ain't No Use,Major Lance,8.0,68.0,1964-06-03,1964
It Could Be We're In Love,The Cryan' Shames,8.0,85.0,1967-08-02,1967
It Could Happen To You,Dinah Washington,6.0,53.0,1960-03-23,1960
It Do Me So Good,Ann-Margret,3.0,97.0,1961-11-08,1961
It Doesn't Matter Anymore,Buddy Holly,14.0,13.0,1959-02-18,1959
It Don't Hurt No More,Nappy Brown,2.0,89.0,1958-11-05,1958
It Feels So Right,Elvis Presley With The Jordanaires,6.0,55.0,1965-06-16,1965
It Happened Today,The Skyliners,8.0,59.0,1959-09-23,1959
It Hurts Me,Elvis Presley With The Jordanaires,7.0,29.0,1966-08-31,1966
It Hurts To Be In Love,Gene Pitney,16.0,7.0,1964-07-15,1964
It Hurts To Be Sixteen,Andrea Carroll,9.0,45.0,1963-07-17,1963
It Keeps Rainin',Fats Domino,10.0,23.0,1961-05-10,1961
It Keeps Right On A-Hurtin',Johnny Tillotson,14.0,3.0,1962-05-09,1962
It May Be Winter Outside (But In My Heart It's Spring),Felice Taylor,6.0,42.0,1967-01-11,1967
It Might As Well Rain Until September,Carole King,9.0,22.0,1962-08-22,1962
It Must Be Him,Vikki Carr,15.0,3.0,1967-08-30,1967
It Only Happened Yesterday,Jack Scott,9.0,38.0,1960-07-27,1960
It Should Have Been Me,Gladys Knight And The Pips,8.0,40.0,1968-06-05,1968
It Started All Over Again,Brenda Lee,8.0,29.0,1962-06-27,1962
It Takes Two,Marvin Gaye & Kim Weston,12.0,14.0,1967-01-04,1967
It Tears Me Up,Percy Sledge,11.0,20.0,1966-10-19,1966
It Was A Very Good Year,Frank Sinatra,8.0,28.0,1966-09-07,1966
It Was I,Skip And Flip,16.0,11.0,1959-06-17,1959
It Will Stand,The Showmen,15.0,61.0,1961-11-08,1961
It Won't Be This Way (Always),The King Pins,2.0,89.0,1963-08-14,1963
It Won't Be Wrong,The Byrds,5.0,63.0,1966-02-09,1966
It'll Never Be Over For Me,Baby Washington,2.0,98.0,1964-11-25,1964
It's A Cotton Candy World,Jerry Wallace,1.0,99.0,1964-08-12,1964
It's A Funky Thing-Right On (Part 1),Herbie Mann,2.0,95.0,1969-11-19,1969
It's A Groovy World!,The Unifics,2.0,97.0,1969-04-09,1969
It's A Happening Thing,The Peanut Butter Conspiracy,3.0,93.0,1967-03-08,1967
It's A Happening World,The Tokens,4.0,69.0,1967-07-19,1967
It's A Lonely Town (Lonely Without You),Gene McDaniels,7.0,64.0,1963-08-07,1963
"It's A Mad, Mad, Mad, Mad World",The Shirelles,2.0,92.0,1963-10-16,1963
It's A Man Down There,G.L. Crockett,6.0,67.0,1965-08-04,1965
It's A Man's Man's Man's World,James Brown And The Famous Flames,9.0,8.0,1966-04-27,1966
It's A Sin To Tell A Lie,Tony Bennett,1.0,99.0,1964-07-08,1964
It's All Because,Linda Scott,8.0,50.0,1961-11-08,1961
It's All In The Game,Tommy Edwards,22.0,1.0,1958-08-13,1958
It's All Over,Ben E. King,6.0,67.0,1964-11-18,1964
It's All Over Now,The Valentinos,10.0,26.0,1964-07-22,1964
It's All Right,Sam Cooke,14.0,4.0,1961-09-20,1961
It's All Right (You're Just In Love),The Tams,3.0,79.0,1964-04-01,1964
It's Almost Tomorrow,Jimmy Velvet,3.0,93.0,1965-05-26,1965
It's Alright,Adam Faith With The Roulettes,8.0,31.0,1965-01-13,1965
It's An Uphill Climb To The Bottom,Walter Jackson,5.0,88.0,1966-06-01,1966
It's Been A Long Long Time,The Elgins,1.0,92.0,1967-07-26,1967
It's Been A Long Time,Betty Everett,2.0,96.0,1969-12-17,1969
It's Better To Have It,Barbara Lynn,2.0,95.0,1965-01-06,1965
It's Cold Outside,The Choir,6.0,68.0,1967-05-31,1967
It's Crazy,Eddie Harris,2.0,88.0,1968-10-23,1968
It's For You,Cilla Black,3.0,79.0,1964-09-16,1964
It's Getting Better,Mama Cass,19.0,30.0,1969-06-04,1969
It's Gonna Be Alright,Maxine Brown,8.0,23.0,1965-02-10,1965
It's Gonna Be Fine,Glenn Yarbrough,6.0,54.0,1965-07-14,1965
It's Gonna Take A Miracle,The Royalettes,11.0,41.0,1965-07-14,1965
It's Gonna Work Out Fine,Ike & Tina Turner,15.0,14.0,1961-07-26,1961
It's Good News Week,Hedgehoppers Anonymous,10.0,48.0,1965-12-01,1965
It's Got The Whole World Shakin',Sam Cooke,7.0,41.0,1965-04-07,1965
It's Got To Be Mellow,Leon Haywood,11.0,63.0,1967-08-09,1967
It's Gotta Last Forever,Billy J. Kramer With The Dakotas,5.0,67.0,1965-02-03,1965
It's Growing,The Temptations,9.0,18.0,1965-03-31,1965
It's Hard To Get Along,Joe Simon,3.0,87.0,1969-10-15,1969
It's Just A House Without You,Brook Benton,5.0,45.0,1961-09-27,1961
It's Just A Little Bit Too Late,Wayne Fontana & The Mindbenders,8.0,45.0,1965-06-09,1965
It's Just A Matter Of Time,Brook Benton,18.0,3.0,1959-01-21,1959
It's Just About Time,Johnny Cash And The Tennessee Two,7.0,47.0,1958-12-10,1958
It's Late,Ricky Nelson,13.0,9.0,1959-02-25,1959
It's Magic,The Platters,2.0,91.0,1962-02-14,1962
It's My Life,The Animals,12.0,23.0,1965-11-03,1965
It's My Party,Lesley Gore,13.0,1.0,1963-05-08,1963
It's My Thing (You Can't Tell Me Who To Sock It To),Marva Whitney,4.0,82.0,1969-06-11,1969
It's Never Too Late,Steppenwolf,5.0,51.0,1969-05-07,1969
It's Nice To Be With You,The Monkees,7.0,51.0,1968-06-12,1968
It's Not Easy,The Will-O-Bees,3.0,95.0,1968-01-31,1968
It's Not The End Of Everything,Tommy Edwards,2.0,78.0,1960-10-05,1960
It's Not The Same,Anthony & The Imperials,2.0,92.0,1966-11-09,1966
It's Not Unusual,Tom Jones,12.0,10.0,1965-04-07,1965
It's Now Or Never,Elvis Presley With The Jordanaires,20.0,1.0,1960-07-13,1960
It's Now Winters Day,Tommy Roe,11.0,23.0,1966-12-21,1966
It's Only Love,Tommy James And The Shondells,9.0,31.0,1966-11-02,1966
It's Only Make Believe,Conway Twitty,21.0,1.0,1958-09-10,1958
It's Only The Beginning,The Kalin Twins,10.0,42.0,1959-01-07,1959
It's Only The Good Times,Tommy Edwards,3.0,86.0,1959-05-27,1959
It's Over,Roy Orbison,11.0,9.0,1968-05-15,1968
It's Raining Outside,The Platters,2.0,93.0,1958-10-01,1958
It's So Hard Being A Loser,The Contours,3.0,79.0,1967-04-12,1967
It's That Time Of The Year,Len Barry,3.0,91.0,1966-06-15,1966
It's The Little Things,Sonny & Cher,7.0,50.0,1967-08-09,1967
It's The Same Old Song,Four Tops,9.0,5.0,1965-07-28,1965
It's Time To Cry,Paul Anka,15.0,4.0,1959-11-18,1959
It's Too Late,Wilson Pickett,10.0,23.0,1963-07-24,1963
"It's Too Late, Baby Too Late",Arthur Prysock,8.0,56.0,1965-07-14,1965
It's Too Soon To Know,Etta James,7.0,54.0,1961-11-01,1961
It's Unbelievable,The Larks,3.0,69.0,1961-03-01,1961
It's Up To You,Rick Nelson,12.0,6.0,1962-12-12,1962
It's Wonderful,The Young Rascals,7.0,20.0,1967-12-06,1967
It's Wonderful To Be In Love,The Ovations (Featuring Louis Williams),6.0,61.0,1965-05-19,1965
It's Your Thing,The Isley Brothers,14.0,2.0,1969-03-12,1969
It's Your World,Marty Robbins,9.0,51.0,1961-09-06,1961
It's-A-Happening,The Magic Mushrooms,1.0,93.0,1966-11-09,1966
Itchy Twitchy Feeling,Bobby Hendricks,14.0,25.0,1958-09-17,1958
Itchycoo Park,Small Faces,17.0,16.0,1967-11-08,1967
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,15.0,1.0,1960-06-29,1960
Itty Bitty Pieces,James Ray,10.0,41.0,1962-04-04,1962
Ivory,Bob Seger System,1.0,97.0,1969-05-07,1969
Ja-Da,Johnny And The Hurricanes,2.0,86.0,1961-02-22,1961
Jack And Jill,Tommy Roe,13.0,53.0,1969-07-16,1969
Jack O'Diamonds,Ruth Brown,2.0,96.0,1959-05-27,1959
Jack The Ripper,Link Wray And The Wraymen,8.0,64.0,1963-06-12,1963
Jackson,Nancy Sinatra & Lee Hazlewood,9.0,14.0,1967-06-21,1967
"Jailer, Bring Me Water",Trini Lopez,2.0,94.0,1964-03-18,1964
Jam Up Jelly Tight,Tommy Roe,8.0,13.0,1969-11-12,1969
Jamaica Ska,The Ska Kings,1.0,98.0,1964-07-08,1964
Jambalaya,Bobby Comstock And The Counts,4.0,90.0,1960-03-02,1960
Jambalaya (On The Bayou),Fats Domino,7.0,30.0,1961-12-06,1961
James (Hold The Ladder Steady),Sue Thompson,10.0,17.0,1962-09-26,1962
Jamie,Eddie Holland,13.0,30.0,1962-01-17,1962
"Jane, Jane, Jane",The Kingston Trio,1.0,93.0,1962-05-16,1962
Java,Floyd Cramer,16.0,4.0,1964-01-01,1964
Je T'Aime...Moi Non Plus,Jane Birkin Serge Gainsbourg,2.0,87.0,1969-11-26,1969
Jealous Heart,Tab Hunter,10.0,47.0,1958-10-15,1958
Jealous Kind Of Fella,Garland Green,10.0,20.0,1969-09-10,1969
Jealous Love,Wilson Pickett,5.0,50.0,1968-02-14,1968
Jealous Of You (Tango Della Gelosia),Connie Francis,11.0,19.0,1960-05-18,1960
Jealousy,Kitty Wells,2.0,83.0,1958-01-01,1958
Jean,Oliver,14.0,2.0,1969-08-13,1969
Jelly Jungle (Of Orange Marmalade),Lemon Pipers,5.0,51.0,1968-05-15,1968
Jellybread,Booker T. & The MG's,5.0,82.0,1962-12-19,1962
Jennie Lee,Jan & Arnie,2.0,44.0,1958-01-01,1958
Jennifer Eccles,The Hollies,11.0,40.0,1968-03-13,1968
Jennifer Juniper,Donovan,9.0,26.0,1968-03-06,1968
Jennifer Tomkins,Street People,1.0,87.0,1969-12-31,1969
Jenny Brown,The Smothers Brothers,4.0,84.0,1963-09-25,1963
Jenny Lou,Sonny James,6.0,67.0,1960-04-06,1960
Jenny Take A Ride!,Mitch Ryder And The Detroit Wheels,12.0,10.0,1965-12-08,1965
Jeremiah Peabody's Poly Unsaturated Quick Dissolving Fast Acting Pleasant T,Ray Stevens,6.0,35.0,1961-07-19,1961
Jerk And Twine,Jackie Ross,4.0,85.0,1965-01-27,1965
Jesse Brady,The McCoys,2.0,98.0,1968-10-23,1968
Jesus Is A Soul Man,Lawrence Reynolds,10.0,28.0,1969-09-17,1969
Jill,Gary Lewis And The Playboys,7.0,52.0,1967-08-09,1967
Jimmy Kiss And Run,Diane Maxwell,1.0,95.0,1959-03-18,1959
Jimmy Mack,Martha & The Vandellas,14.0,10.0,1967-02-22,1967
Jimmy Martinez,Marty Robbins,5.0,51.0,1961-05-24,1961
Jimmy's Girl,Johnny Tillotson,11.0,25.0,1961-01-04,1961
Jingle Bell Rock,Bobby Helms,15.0,21.0,1961-12-06,1961
Jingle Jangle,The Archies,6.0,17.0,1969-11-26,1969
Jingo,Santana,8.0,56.0,1969-10-22,1969
Jivin' Around,Al Casey Combo,6.0,71.0,1962-07-25,1962
Jo-Jo The Dog-Faced Boy,Annette,4.0,73.0,1959-04-08,1959
Joanie,Frankie Calen,6.0,78.0,1961-06-07,1961
Joe Joe Gunne,Chuck Berry,5.0,83.0,1958-11-12,1958
Joey Baby,Anita & Th' So-And-So's,3.0,91.0,1962-02-14,1962
Joey's Song,Bill Haley And His Comets,12.0,46.0,1959-09-30,1959
Johnny Angel,Shelley Fabares,15.0,1.0,1962-02-28,1962
Johnny B. Goode,Chuck Berry,4.0,71.0,1964-08-19,1964
Johnny Freedom,Johnny Horton,4.0,69.0,1960-06-29,1960
Johnny Get Angry,Joanie Sommers,14.0,7.0,1962-05-23,1962
Johnny Jingo,Hayley Mills,11.0,21.0,1962-03-14,1962
Johnny Loves Me,Shelley Fabares,10.0,21.0,1962-06-06,1962
Johnny One Time,Brenda Lee,11.0,41.0,1969-02-05,1969
Johnny Reb,Johnny Horton,8.0,54.0,1959-08-19,1959
Johnny Will,Pat Boone,10.0,35.0,1961-11-08,1961
Johnny Willow,Fred Darian,1.0,96.0,1961-09-20,1961
Josephine,Bill Black's Combo,10.0,18.0,1960-06-22,1960
Journey Of Love,The Crests featuring Johnny Mastro,4.0,81.0,1960-09-07,1960
Journey To The Center Of The Mind,The Amboy Dukes,12.0,16.0,1968-06-26,1968
Joy,Mitch Ryder,6.0,41.0,1967-06-28,1967
Ju Ju Hand,Sam The Sham and the Pharaohs,7.0,26.0,1965-07-28,1965
Juanita Banana,The Peels,6.0,59.0,1966-03-09,1966
Judy,Frankie Vaughan,5.0,78.0,1958-01-01,1958
Judy In Disguise (With Glasses),John Fred And The Playboys,16.0,1.0,1967-11-22,1967
Judy Loves Me,Johnny Crawford,3.0,95.0,1964-01-08,1964
Judy's Turn To Cry,Lesley Gore,11.0,5.0,1963-07-03,1963
Juke Box Saturday Night,Nino & The Ebb Tides,5.0,57.0,1961-08-30,1961
Julia,Ramsey Lewis,8.0,76.0,1969-09-24,1969
July You're A Woman,Pat Boone,2.0,100.0,1969-04-16,1969
Jumbo,Bee Gees,6.0,57.0,1968-04-03,1968
Jump Back,Rufus Thomas,7.0,49.0,1964-10-07,1964
Jump Over,Freddy Cannon,10.0,28.0,1960-05-04,1960
Jumpin' Jack Flash,The Rolling Stones,12.0,3.0,1968-06-05,1968
Jupiter-C,Pat and the Satellites,4.0,81.0,1959-02-04,1959
Jura (I Swear I Love You),Les Paul And Mary Ford,10.0,37.0,1961-04-19,1961
Just A Closer Walk With Thee,Jimmie Rodgers,9.0,44.0,1960-04-06,1960
Just A Dream,Jimmy Clanton And His Rockets,15.0,4.0,1958-01-01,1958
Just A Little,Brenda Lee,12.0,8.0,1960-09-28,1960
Just A Little Bit,Rosco Gordon,7.0,39.0,1969-05-07,1969
Just A Little Bit Better,Herman's Hermits,10.0,7.0,1965-09-15,1965
Just A Little Love,B.B. King,5.0,76.0,1969-10-15,1969
Just A Little Misunderstanding,The Contours,2.0,85.0,1966-05-25,1966
Just A Little Too Much,Ricky Nelson,13.0,9.0,1959-06-24,1959
Just A Moment Ago,Soul Sisters,1.0,100.0,1964-10-07,1964
Just Ain't Enough Love,Eddie Holland,7.0,54.0,1964-05-20,1964
Just Ain't No Love,Barbara Acklin,9.0,67.0,1968-11-13,1968
Just As Much As Ever,Bob Beckham,21.0,24.0,1959-08-05,1959
Just Ask Your Heart,Frankie Avalon,16.0,7.0,1959-08-26,1959
Just Be Sincere,Jackie Wilson,3.0,91.0,1967-02-08,1967
Just Be True,Gene Chandler,10.0,19.0,1964-07-08,1964
Just Because,The McGuire Sisters,1.0,99.0,1961-11-01,1961
Just Call Me (And I'll Understand),Lloyd Price and His Orchestra,4.0,79.0,1960-09-07,1960
Just Come Home,Hugo & Luigi,9.0,35.0,1959-12-09,1959
Just Dropped In (To See What Condition My Condition Was In),The First Edition,10.0,5.0,1968-02-07,1968
Just For Old Time's Sake,The McGuire Sisters,14.0,20.0,1961-03-08,1961
Just Give Me A Ring,Clyde McPhatter,2.0,96.0,1960-02-24,1960
Just Got To Know,Jimmy McCracklin,7.0,64.0,1961-12-06,1961
Just Keep It Up,Dee Clark,15.0,18.0,1959-04-29,1959
Just Like A Woman,Bob Dylan,6.0,33.0,1966-09-07,1966
Just Like In The Movies,The Upbeats,3.0,75.0,1958-01-01,1958
Just Like Me,Paul Revere & The Raiders Featuring Mark Lindsay,15.0,11.0,1965-12-01,1965
Just Look What You've Done,Brenda Holloway,5.0,69.0,1967-04-19,1967
Just Married,Marty Robbins,1.0,76.0,1958-08-06,1958
Just Once In A Lifetime,Brenda & The Tabulations,2.0,97.0,1967-08-09,1967
Just Once In My Life,The Righteous Brothers,11.0,9.0,1965-04-07,1965
Just One Kiss From You,The Impressions,5.0,76.0,1965-09-29,1965
Just One Look,Doris Troy,14.0,10.0,1963-06-05,1963
Just One More Day,Otis Redding,5.0,85.0,1965-12-01,1965
Just One Smile,Gene Pitney,6.0,64.0,1966-12-21,1966
Just One Time,Don Gibson,11.0,29.0,1960-03-02,1960
Just Out Of Reach (Of My Two Empty Arms),Percy Sledge,4.0,66.0,1967-08-30,1967
Just Out Of Reach (Of My Two Open Arms),Solomon Burke,17.0,24.0,1961-09-13,1961
Just Tell Her Jim Said Hello,Elvis Presley With The Jordanaires,5.0,55.0,1962-08-08,1962
Just To Be With You,The Passions,10.0,69.0,1959-09-30,1959
Just Yesterday,Jack Jones,5.0,73.0,1966-08-03,1966
Just You,Sonny & Cher,9.0,20.0,1965-08-25,1965
Just Young,Paul Anka,7.0,69.0,1958-10-01,1958
Justine,The Righteous Brothers,3.0,85.0,1965-06-30,1965
Kansas City,Wilbert Harrison,16.0,1.0,1959-04-08,1959
Kansas City (Hey-Hey-Hey-Hey),Little Richard,2.0,95.0,1959-05-06,1959
Kansas City Star,Roger Miller,7.0,31.0,1965-09-08,1965
Karate,The Emperor's,9.0,55.0,1966-11-30,1966
Karate-Boo-Ga-Loo,Jerryo,9.0,51.0,1967-09-13,1967
Kathy-O,The Diamonds,7.0,45.0,1958-01-01,1958
Katy Too,Johnny Cash And The Tennessee Two,8.0,66.0,1959-07-08,1959
Kay,"John Wesley Ryles, I",5.0,83.0,1968-12-25,1968
Keem-O-Sabe,The Electric Indian,11.0,16.0,1969-07-30,1969
Keep A Light In The Window Till I Come Home,Solomon Burke,5.0,64.0,1967-02-08,1967
Keep On Dancing,Hank Ballard And The Midnighters,13.0,4.0,1961-07-19,1961
Keep On Lovin' Me Honey,Marvin Gaye & Tammi Terrell,7.0,24.0,1968-10-09,1968
Keep On Pushing,The Impressions,13.0,10.0,1964-06-03,1964
Keep On Running,The Spencer Davis Group,4.0,76.0,1966-03-02,1966
Keep On Trying,Bobby Vee,5.0,85.0,1965-05-05,1965
Keep Searchin' (We'll Follow The Sun),Del Shannon,14.0,9.0,1964-11-18,1964
Keep The Ball Rollin',Jay And The Techniques,12.0,14.0,1968-01-24,1968
Keep The One You Got,Joe Tex,5.0,52.0,1968-08-07,1968
Keep Your Hands In Your Pockets,The Playmates,2.0,88.0,1962-07-11,1962
Keep Your Hands Off My Baby,Little Eva,12.0,12.0,1962-10-31,1962
Keep Your Hands Off Of Him,Damita Jo,5.0,75.0,1961-02-01,1961
Keep Your Love Locked (Deep In Your Heart),Paul Petersen,6.0,58.0,1962-06-06,1962
Kentucky Woman,Neil Diamond,8.0,22.0,1968-11-06,1968
Kick Out The Jams,MC5,4.0,82.0,1969-03-12,1969
Kick That Little Foot Sally Ann,Round Robin,8.0,61.0,1964-05-27,1964
Kicks,Paul Revere & The Raiders Featuring Mark Lindsay,14.0,4.0,1966-03-16,1966
Kiddio,Brook Benton,17.0,7.0,1960-08-03,1960
Kiko,Jimmy McGriff,4.0,79.0,1964-05-13,1964
Killer Joe,The Rocky Fellers,13.0,16.0,1966-03-30,1966
Kind Of A Drag,The Buckinghams,13.0,1.0,1966-12-28,1966
King Midas In Reverse,The Hollies,5.0,51.0,1967-10-04,1967
King Of Clowns,Neil Sedaka,9.0,45.0,1962-03-28,1962
King Of The Road,Roger Miller,13.0,4.0,1965-01-27,1965
King Of The Whole Wide World,Elvis Presley With The Jordanaires,7.0,30.0,1962-09-19,1962
Kiss Away,Ronnie Dove,8.0,25.0,1965-11-03,1965
Kiss Me Goodbye,Petula Clark,11.0,15.0,1968-02-14,1968
Kiss Me Quick,Elvis Presley With The Jordanaires,6.0,34.0,1964-04-29,1964
Kiss Me Sailor,Diane Renay,8.0,29.0,1964-04-01,1964
Kissin Game,Dion,3.0,82.0,1961-04-26,1961
Kissin' And Twistin',Fabian,2.0,91.0,1960-10-26,1960
Kissin' Cousins,Elvis Presley With The Jordanaires,9.0,12.0,1964-02-19,1964
Kissin' On The Phone,Paul Anka,7.0,35.0,1961-08-23,1961
Kissin' Time,Bobby Rydell,17.0,11.0,1959-06-24,1959
Knight In Rusty Armour,Peter And Gordon,9.0,15.0,1966-12-21,1966
Knock On Wood,Eddie Floyd,17.0,28.0,1966-09-07,1966
Knock! Knock! (Who's There?),The Orlons,6.0,64.0,1964-08-26,1964
Knucklehead,Bar-Kays,4.0,76.0,1967-08-30,1967
Kokomo,The Flamingos,3.0,92.0,1961-03-08,1961
Kommotion,Duane Eddy,6.0,78.0,1960-08-17,1960
Kookie Little Paradise,The Tree Swingers,6.0,73.0,1960-08-10,1960
"Kookie, Kookie (Lend Me Your Comb)",Edward Byrnes & Connie Stevens,13.0,4.0,1959-04-15,1959
Kool And The Gang,Kool & The Gang,12.0,59.0,1969-09-10,1969
Kozmic Blues,Janis Joplin,9.0,41.0,1969-11-05,1969
Kum Ba Yah,Tommy Leonetti,9.0,54.0,1969-01-15,1969
L-O-N-E-L-Y,Bobby Vinton,8.0,22.0,1965-05-05,1965
L-O-V-E,Nat King Cole,4.0,81.0,1964-09-23,1964
L. David Sloane,Michele Lee,11.0,52.0,1968-02-28,1968
La - La - Means I Love You,The Delfonics,15.0,4.0,1968-01-31,1968
La Bamba,Ritchie Valens,15.0,22.0,1958-12-24,1958
La Bamba - Part I,Trini Lopez,5.0,86.0,1966-06-22,1966
La Bomba,The Tokens,5.0,85.0,1962-06-27,1962
La Dolce Vita (The Sweet Life),Ray Ellis And His Orchestra,5.0,81.0,1961-06-28,1961
La La La,Gerry And The Pacemakers,3.0,90.0,1966-03-30,1966
La La La (If I Had You),Bobby Sherman,7.0,10.0,1969-11-19,1969
La La La La La,The Blendells,8.0,62.0,1964-09-09,1964
La Montana (If She Should Come To You),Frank DeVol And His Rainbow Strings,6.0,77.0,1960-06-01,1960
La Pachanga,Audrey Arno And The Hazy Osterwald Sextet,2.0,87.0,1961-04-05,1961
La Paloma,Billy Vaughn And His Orchestra,10.0,26.0,1958-08-06,1958
La Paloma Twist,Chubby Checker,2.0,72.0,1962-03-14,1962
La Plume De Ma Tante,Hugo & Luigi,5.0,86.0,1959-06-03,1959
La-Do-Dada,Dale Hawkins,12.0,32.0,1958-08-27,1958
Lady,Jack Jones,11.0,39.0,1967-01-18,1967
Lady Bird,Nancy Sinatra & Lee Hazlewood,6.0,20.0,1967-10-18,1967
Lady Friend,The Byrds,2.0,82.0,1967-08-16,1967
Lady Godiva,Peter And Gordon,14.0,6.0,1966-10-05,1966
Lady Jane,The Rolling Stones,6.0,24.0,1966-07-20,1966
Lady Luck,Lloyd Price and His Orchestra,13.0,14.0,1960-01-27,1960
Lady Madonna,The Beatles,11.0,4.0,1968-09-04,1968
Lady Willpower,Gary Puckett And The Union Gap,13.0,2.0,1968-06-05,1968
Lady-O,The Turtles,4.0,78.0,1969-12-03,1969
Lalena,Donovan,6.0,33.0,1968-10-02,1968
Land Of 1000 Dances,Chris Kenner,14.0,6.0,1965-02-24,1965
Land Of A Thousand Dances (Part I),Thee Midniters,4.0,67.0,1965-03-10,1965
Language Of Love,John D. Loudermilk,9.0,32.0,1961-11-01,1961
Lapland,The Baltimore And Ohio Marching Band,3.0,94.0,1967-10-25,1967
"Lara's Theme from ""Dr. Zhivago""",Roger Williams,6.0,65.0,1966-06-22,1966
Last Chance,Collay & the Satellites,3.0,82.0,1960-04-20,1960
Last Chance To Turn Around,Gene Pitney,10.0,13.0,1965-05-05,1965
Last Date,Floyd Cramer,20.0,2.0,1960-10-05,1960
Last Kiss,J. Frank Wilson and The Cavaliers,15.0,2.0,1964-09-02,1964
Last Minute Miracle,The Shirelles,2.0,99.0,1967-08-16,1967
Last Night,Mar-Keys,14.0,3.0,1961-06-28,1961
Last Train To Clarksville,The Monkees,15.0,1.0,1966-09-07,1966
Late Date,The Parkays,2.0,89.0,1961-10-04,1961
Laudy Miss Claudy,The Buckinghams,6.0,41.0,1967-03-08,1967
Laugh,The Velvets featuring Virgil Johnson,1.0,90.0,1961-10-04,1961
Laugh At Me,Sonny,10.0,10.0,1965-08-18,1965
"Laugh, Laugh",The Beau Brummels,12.0,15.0,1964-12-30,1964
Laughing,The Guess Who,11.0,10.0,1969-07-09,1969
Laughing Boy,Mary Wells,9.0,15.0,1963-02-20,1963
Laura (Tell Me What He's Got That I Ain't Got),Brook Benton,4.0,78.0,1967-08-16,1967
"Laura, What's He Got That I Ain't Got",Frankie Laine,6.0,66.0,1967-08-09,1967
Laurie (Strange Things Happen),Dickey Lee,13.0,14.0,1965-05-12,1965
Lavender-Blue,Sammy Turner,18.0,3.0,1959-06-17,1959
Lawdy Miss Clawdy,Gary Stites,9.0,47.0,1960-02-17,1960
Lay Lady Lay,Bob Dylan,14.0,7.0,1969-07-09,1969
Lay Some Happiness On Me,Dean Martin,5.0,55.0,1967-04-26,1967
Lazy Day,Spanky And Our Gang,11.0,14.0,1967-10-11,1967
Lazy Elsie Molly,Chubby Checker,7.0,40.0,1964-06-03,1964
Lazy Lady,Fats Domino,2.0,86.0,1964-02-26,1964
Lazy River,Bobby Darin,10.0,14.0,1961-02-01,1961
