title,artist,weeks,peak_rank,date,peak_year
A House Is Not A Home,Brook Benton,7.0,71.0,1964-07-29,1964
A House Of Love,Scott Garrett,1.0,92.0,1959-03-25,1959
"A House, A Car And A Wedding Ring",Dale Hawkins,5.0,88.0,1958-11-05,1958
A Hundred Pounds Of Clay,Gene McDaniels,15.0,3.0,1961-03-15,1961
A Kookie Little Paradise,Jo Ann Campbell,9.0,61.0,1960-08-10,1960
A Letter From Betty,Bobby Vee,2.0,85.0,1963-06-26,1963
A Letter To An Angel,Jimmy Clanton,12.0,25.0,1958-10-15,1958
A Letter To Dad,Every Father's Teenage Son,4.0,93.0,1967-11-22,1967
A Letter To The Beatles,The Four Preps,3.0,85.0,1964-03-18,1964
A Lifetime Of Loneliness,Jackie DeShannon,6.0,66.0,1965-09-29,1965
"A Little Bit Me, A Little Bit You",The Monkees,10.0,2.0,1967-03-22,1967
A Little Bit Now,The Dave Clark Five,4.0,67.0,1967-08-09,1967
A Little Bit Now (A Little Bit Later),The Majors,6.0,63.0,1962-11-14,1962
A Little Bit Of Heaven,Ronnie Dove,10.0,16.0,1965-06-02,1965
A Little Bit Of Soap,The Jarmels,10.0,12.0,1964-12-30,1964
A Little Bitty Tear,Burl Ives,14.0,9.0,1962-01-17,1962
A Little Dog Cried,Jimmie Rodgers,4.0,71.0,1961-08-30,1961
A Little Feeling (Called Love),Jack Scott,2.0,91.0,1961-05-24,1961
A Little Less Conversation,Elvis Presley With The Jordanaires,4.0,69.0,1968-10-09,1968
A Little Rain Must Fall,The Epic Splendor,7.0,87.0,1967-12-13,1967
A Little Too Much,Clarence Henry,5.0,77.0,1962-01-10,1962
A Little Toy Balloon,Danny Williams,4.0,84.0,1964-06-17,1964
A Little You,Freddie And The Dreamers,7.0,48.0,1965-07-28,1965
A Love Of My Own,Carla Thomas,6.0,56.0,1961-05-03,1961
A Love She Can Count On,The Miracles,9.0,31.0,1963-03-27,1963
A Love So Fine,The Chiffons,9.0,40.0,1963-09-04,1963
A Love That's Real,The Intruders,3.0,82.0,1967-11-29,1967
A Lover's Concerto,The Toys,15.0,2.0,1965-09-08,1965
A Lover's Prayer,Dion & The Belmonts,3.0,73.0,1959-10-14,1959
A Lover's Question,Clyde McPhatter,24.0,6.0,1961-02-22,1961
A Man And A Half,Wilson Pickett,6.0,42.0,1968-11-13,1968
A Man And A Woman,Tamiko Jones with Herbie Mann,2.0,88.0,1966-11-09,1966
A Man Needs A Woman,James Carr,10.0,63.0,1968-01-03,1968
A Man Without Love (Quando M'innamoro),Engelbert Humperdinck,9.0,19.0,1968-05-08,1968
A Mess Of Blues,Elvis Presley With The Jordanaires,11.0,32.0,1960-07-20,1960
A Million And One,Dean Martin,7.0,41.0,1966-07-20,1966
A Million To One,Jimmy Charles and The Revelletts,15.0,5.0,1969-04-02,1969
A Minute Of Your Time,Tom Jones,10.0,48.0,1968-12-18,1968
A Miracle,Frankie Avalon,6.0,75.0,1962-07-11,1962
A Must To Avoid,Herman's Hermits,9.0,8.0,1965-12-22,1965
A Part Of Me,Jimmy Clanton,7.0,38.0,1958-10-29,1958
A Perfect Love,Frankie Avalon,6.0,47.0,1960-12-07,1960
A Place In The Sun,Stevie Wonder,11.0,9.0,1966-11-09,1966
A Prayer And A Juke Box,Little Anthony And The Imperials,4.0,81.0,1959-06-10,1959
A Question Of Temperature,The Balloon Farm,8.0,37.0,1968-02-21,1968
A Quiet Place,Garnet Mimms & The Enchanters,7.0,78.0,1964-07-15,1964
A Ray Of Hope,The Rascals,8.0,24.0,1968-12-04,1968
A Rockin' Good Way (To Mess Around And Fall In Love),Dinah Washington & Brook Benton,13.0,7.0,1960-05-18,1960
A Satisfied Mind,Bobby Hebb,6.0,39.0,1966-10-05,1966
A Scottish Soldier (Green Hills of Tyrol),Andy Stewart,6.0,69.0,1961-03-29,1961
A Shot In The Dark,Henry Mancini And His Orchestra,2.0,97.0,1964-07-15,1964
A Sign Of The Times,Petula Clark,8.0,11.0,1966-03-23,1966
A Star Is Born (A Love Has Died),Mark Dinning,6.0,68.0,1960-04-13,1960
A Steel Guitar And A Glass Of Wine,Paul Anka,10.0,13.0,1962-05-23,1962
A Stranger In Your Town,The Shacklefords,6.0,70.0,1963-05-08,1963
A String Of Trumpets,The Trumpeteers,9.0,64.0,1959-04-22,1959
A Summer Song,Chad & Jeremy,14.0,7.0,1964-08-12,1964
A Sunday Kind Of Love,Jan & Dean,1.0,95.0,1962-01-17,1962
A Sweet Woman Like You,Joe Tex,9.0,29.0,1965-12-01,1965
A Swingin' Safari,Billy Vaughn And His Orchestra,12.0,13.0,1962-07-18,1962
A Symphony For Susan,The Arbors,10.0,51.0,1966-10-12,1966
A Taste Of Honey,Martin Denny and His Orchestra,15.0,50.0,1964-08-19,1964
A Tear,Gene McDaniels,8.0,31.0,1961-06-28,1961
A Tear Fell,Ray Charles,5.0,50.0,1964-07-29,1964
A Teenager Feels It Too,Denny Reed,3.0,94.0,1960-08-24,1960
A Teenager In Love,Dion & The Belmonts,15.0,5.0,1959-04-15,1959
A Texan And A Girl From Mexico,Anita Bryant,4.0,85.0,1961-02-08,1961
A Thing Of The Past,The Shirelles,8.0,41.0,1961-07-05,1961
A Thousand Miles Away,The Heartbeats,1.0,96.0,1960-11-02,1960
A Thousand Shadows,The Seeds,4.0,72.0,1967-07-12,1967
A Thousand Stars,Kathy Young With The Innocents,17.0,3.0,1960-10-19,1960
A Time To Love-A Time To Cry (Petite Fleur),Lou Johnson,9.0,59.0,1965-11-10,1965
A Touch Of Pink,Jerry Wallace,2.0,92.0,1959-04-15,1959
A Tribute To A King,William Bell,6.0,86.0,1968-04-24,1968
A Voice In The Choir,Al Martino,6.0,80.0,1967-12-06,1967
A Walk In The Black Forest,Horst Jankowski,13.0,12.0,1965-05-05,1965
A Walkin' Miracle,The Essex Featuring Anita Humes,10.0,12.0,1963-08-21,1963
A Well Respected Man,The Kinks,14.0,13.0,1965-12-01,1965
A Whiter Shade Of Pale,Procol Harum,12.0,5.0,1968-11-06,1968
A Woman Can Change A Man,Joe Tex,7.0,56.0,1965-04-07,1965
A Woman's Hands,Joe Tex,5.0,63.0,1967-08-02,1967
A Woman's Love,Carla Thomas,4.0,71.0,1964-11-25,1964
"A Woman, A Lover, A Friend",Jackie Wilson,12.0,15.0,1960-07-06,1960
A Wonder Like You,Rick Nelson,11.0,11.0,1961-09-27,1961
A Wonderful Dream,The Majors,11.0,22.0,1962-08-08,1962
A Working Man's Prayer,Arthur Prysock,6.0,74.0,1968-01-03,1968
A World Of Our Own,The Seekers,10.0,19.0,1965-05-26,1965
