artist
Alicia Keys
USHER
"Shaggy, Rik Rok"
"Ja Rule, Ashanti"
Eminem
Ashanti
Nelly
USHER
Mary J. Blige
50 Cent
Evanescence
"Beyoncé, JAY-Z"
Sean Paul
Kelly Clarkson
"USHER, Lil Jon, Ludacris"
Alicia Keys
Kanye West
Mariah Carey
Gwen Stefani
"Kanye West, Jamie Foxx"
"50 Cent, Olivia"
Black Eyed Peas
"Shakira, Wyclef Jean"
"Nelly Furtado, Timbaland"
Rihanna
"T-Pain, Yung Joc"
Daniel Powter
"Rihanna, JAY-Z"
"T-Pain, Akon"
Fergie
Kanye West
Beyoncé
"Lil Wayne, Static Major"
"Akon, Eminem"
Katy Perry
T.I.
"USHER, Jeezy"
Black Eyed Peas
Lady Gaga
Kanye West
"T-Pain, Yung Joc"
Beyoncé
"Katy Perry, Snoop Dogg"
"USHER, will.i.am"
Lady Gaga
"B.o.B, Bruno Mars"
Rihanna
Adele
"LMFAO, Lauren Bennett, GoonRock"
Katy Perry
Bruno Mars
"Rihanna, Calvin Harris"
Carly Rae Jepsen
"Gotye, Kimbra"
"fun., Janelle Monáe"
Rihanna
PSY
"Robin Thicke, T.I., Pharrell Williams"
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz"
"Daft Punk, Pharrell Williams, Nile Rodgers"
Katy Perry
Lorde
Pharrell Williams
John Legend
"Iggy Azalea, Charli xcx"
Maroon 5
Taylor Swift
Ed Sheeran
Party Tyme
The Weeknd
Taylor Swift
Justin Bieber
"Drake, Wizkid, Kyla"
"Rihanna, Drake"
Justin Bieber
Sia
KaraokePro
Ed Sheeran
"Luis Fonsi, Daddy Yankee, Justin Bieber"
Bruno Mars
Kendrick Lamar
Dua Lipa
Drake
"Bebe Rexha, Florida Georgia Line"
"Post Malone, 21 Savage"
Ed Sheeran
"Cardi B, Bad Bunny, J Balvin"
Billie Eilish
"Lil Nas X, Billy Ray Cyrus"
Ariana Grande
Halsey
"Post Malone, Swae Lee"
The Weeknd
Roddy Ricch
Dua Lipa
Harry Styles
BTS
Olivia Rodrigo
The Weeknd
"Dua Lipa, DaBaby"
